directory	srr_id	in_sample_list	in_sra_dir
Premalignant/Esophagus	SRR27477674	1	0
Premalignant/Esophagus	SRR27477675	1	0
Premalignant/Esophagus	SRR27477676	1	0
Premalignant/Esophagus	SRR27477677	1	0
Premalignant/Esophagus	SRR27477678	1	0
Premalignant/Esophagus	SRR27477679	1	0
Premalignant/Esophagus	SRR27477680	1	0
Premalignant/Esophagus	SRR27477681	1	1
Premalignant/Esophagus	SRR27477682	1	0
Premalignant/Esophagus	SRR27477683	1	0
Premalignant/Esophagus	SRR27477684	1	0
Premalignant/Esophagus	SRR27477685	1	0
Premalignant/Esophagus	SRR27477686	1	0
Premalignant/Esophagus	SRR27477687	1	0
Premalignant/Esophagus	SRR27477688	1	0
Premalignant/Esophagus	SRR27477689	1	0
Premalignant/Esophagus	SRR27477690	1	0
Premalignant/Esophagus	SRR27477691	1	0
Premalignant/Esophagus	SRR27477692	1	1
Premalignant/Esophagus	SRR27477693	1	1
Premalignant/Esophagus	SRR27477694	1	1
Premalignant/Esophagus	SRR27477695	1	0
Premalignant/Esophagus	SRR27477696	1	0
Premalignant/Esophagus	SRR27477697	1	0
Premalignant/Esophagus	SRR27477698	1	0
Premalignant/Esophagus	SRR27477699	1	0
Premalignant/Esophagus	SRR27477700	1	0
Premalignant/Esophagus	SRR27477701	1	0
Premalignant/Esophagus	SRR27477702	1	0
Premalignant/Esophagus	SRR27477703	1	0
Premalignant/Esophagus	SRR27477704	1	0
Premalignant/Esophagus	SRR27477705	1	0
Premalignant/Esophagus	SRR27477706	1	0
Premalignant/Esophagus	SRR27477707	1	0
Premalignant/Esophagus	SRR27477708	1	0
Premalignant/Esophagus	SRR27477709	1	0
Premalignant/Esophagus	SRR27477710	1	1
Premalignant/Esophagus	SRR27477711	1	1
Premalignant/Esophagus	SRR27477712	1	0
Premalignant/Esophagus	SRR27477713	1	0
Premalignant/Esophagus	SRR27477714	1	0
Premalignant/Esophagus	SRR27477715	1	0
Premalignant/Esophagus	SRR27477716	1	0
Premalignant/Esophagus	SRR27477717	1	1
Premalignant/Esophagus	SRR27477718	1	0
Premalignant/Esophagus	SRR27477719	1	0
Premalignant/Esophagus	SRR27477720	1	1
Premalignant/Esophagus	SRR27477721	1	1
Premalignant/Esophagus	SRR27477722	1	0
Premalignant/Esophagus	SRR27477723	1	0
Premalignant/Esophagus	SRR27477724	1	0
Premalignant/Esophagus	SRR27477725	1	0
Premalignant/Esophagus	SRR27477726	1	0
Premalignant/Esophagus	SRR27477727	1	0
Premalignant/Esophagus	SRR27477728	1	0
Premalignant/Esophagus	SRR27477729	1	1
Premalignant/Esophagus	SRR27477730	1	0
Premalignant/Esophagus	SRR27477731	1	0
Premalignant/Esophagus	SRR27477732	1	0
Premalignant/Esophagus	SRR27477733	1	0
Premalignant/Esophagus	SRR27477734	1	0
Premalignant/Esophagus	SRR27477735	1	0
Premalignant/Esophagus	SRR27477736	1	0
Premalignant/Esophagus	SRR27477737	1	1
Premalignant/Esophagus	SRR27477738	1	0
Premalignant/Esophagus	SRR27477739	1	0
Premalignant/Esophagus	SRR27477740	1	0
Premalignant/Esophagus	SRR27477741	1	0
Premalignant/Esophagus	SRR27477742	1	0
Premalignant/Esophagus	SRR27477743	1	1
Premalignant/Esophagus	SRR27477744	1	1
Premalignant/Esophagus	SRR27477745	1	1
Premalignant/Esophagus	SRR27477746	1	0
Premalignant/Esophagus	SRR27477747	1	0
Premalignant/Esophagus	SRR27477748	1	0
Premalignant/Esophagus	SRR27477749	1	0
Premalignant/Esophagus	SRR27477750	1	0
Premalignant/Esophagus	SRR27477751	1	1
Premalignant/Gum+MouthOther	ERR649018	1	0
Premalignant/Gum+MouthOther	ERR649021	1	0
Premalignant/Gum+MouthOther	ERR649023	1	0
Premalignant/Gum+MouthOther	ERR649028	1	0
Premalignant/Gum+MouthOther	ERR649031	1	0
