srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
SRR9043644,1,1,0,1
SRR9043645,1,1,0,1
SRR9043646,1,1,0,1
SRR9043647,1,1,0,1
SRR9043648,1,1,0,1
SRR9043649,1,1,0,1
SRR9043650,1,1,0,1
SRR9043651,1,1,0,1
SRR9043652,1,1,0,1
SRR9043653,1,1,0,1
SRR9043654,1,1,0,1
SRR9043655,1,1,0,1
SRR9043656,1,1,0,1
SRR9043657,1,1,0,1
SRR9043658,1,1,0,1
SRR9697593,1,1,0,1
SRR9697594,1,1,0,1
SRR9697595,1,1,0,1
SRR9697614,1,1,0,1
SRR9697633,1,1,0,1
SRR9697716,1,1,0,1
SRR9697845,1,1,0,1
SRR9697850,1,1,0,1
